topo,V,D,EPR,traffic,ave_phi,std_phi,ave_time[s],std_time[s],ave_PeakRAM[B],std_PeakRAM[B]
Polarfly,13,4,2,uniform,10.0,0.0,0.022661447525024414,0.0003937104038319994,92048.8,10.73312629199899
Polarfly,13,4,2,shift-half,7.5,0.0,0.020606422424316408,7.456740693790248e-05,92048.8,10.73312629199899
Polarfly,13,4,2,nearst-neighbour,9.615384615384615,0.0,0.019272804260253906,3.9923545244091946e-05,92048.8,10.73312629199899
Polarfly,13,4,2,shift-1,10.0,0.0,0.018913984298706055,6.922622113179883e-05,92048.8,10.73312629199899
Polarfly,13,4,2,router-cluster,9.23076923076923,0.0,0.02058587074279785,9.990017279327975e-05,92048.8,10.73312629199899
Polarfly,13,4,2,random-permute,10.0,0.0,0.017849826812744142,6.813655114286628e-05,92048.8,10.73312629199899
Polarfly,31,6,3,uniform,10.0,0.0,0.4352057456970215,0.0017576527508701872,3007131.2,15462.857278006546
Polarfly,31,6,3,shift-half,7.797260176233456,0.0,0.43436684608459475,0.0023795853074918003,3000220.8,10.73312629199899
Polarfly,31,6,3,nearst-neighbour,9.89247311827957,0.0,0.3565554141998291,0.0022126649262661758,3000220.8,10.73312629199899
Polarfly,31,6,3,shift-1,10.0,0.0,0.35427045822143555,0.002193199310435114,3000220.8,10.73312629199899
Polarfly,31,6,3,router-cluster,9.89247311827957,0.0,0.4985546112060547,0.005972148709736858,3000220.8,10.73312629199899
Polarfly,31,6,3,random-permute,10.0,0.0,0.34936795234680174,0.004299914934560318,3000220.8,10.73312629199899
Polarfly,57,8,4,uniform,9.999999999999998,0.0,3.122222137451172,0.0218657014554057,20538220.8,10.73312629199899
Polarfly,57,8,4,shift-half,7.718245122580189,0.0,2.5068126678466798,0.02126214049057862,20538220.8,10.73312629199899
Polarfly,57,8,4,nearst-neighbour,9.956140350877195,0.0,2.289297008514404,0.027641462351656352,20538220.8,10.73312629199899
Polarfly,57,8,4,shift-1,10.0,0.0,2.3321220874786377,0.13782646537923132,20538220.8,10.73312629199899
Polarfly,57,8,4,router-cluster,9.755829903978057,0.0,3.3226223468780516,0.21386174187896187,20538273.6,42.48293775152561
Polarfly,57,8,4,random-permute,10.0,0.0,2.4953787326812744,0.10266732055967022,20538308.8,10.73312629199899
Polarfly,91,10,5,uniform,9.999999999999998,0.0,15.978701066970824,0.21415902789143573,85900668.8,10.73312629199899
Polarfly,91,10,5,shift-half,7.520024283812211,0.0,19.150236940383913,0.4258796863653442,85900668.8,10.73312629199899
Polarfly,91,10,5,nearst-neighbour,9.978021978021978,0.0,10.928529262542725,0.18298306067300427,85900668.8,10.73312629199899
Polarfly,91,10,5,shift-1,10.0,0.0,10.991566801071167,0.5661689801919231,85900668.8,10.73312629199899
Polarfly,91,10,5,router-cluster,9.835166090444861,0.0,30.944056463241576,0.5593511169015422,85900668.8,10.73312629199899
Polarfly,91,10,5,random-permute,10.0,0.0,10.687084197998047,0.2645947986628416,85900668.8,10.73312629199899
Polarfly,133,12,6,uniform,10.0,0.0,53.792493152618405,1.0890636005986223,273794372.8,10.73312629199899
Polarfly,133,12,6,shift-half,7.368933006030568,0.0,39.924560356140134,1.481470649057855,273794372.8,10.73312629199899
Polarfly,133,12,6,nearst-neighbour,9.987468671679194,0.0,35.26063799858093,0.5790729015767111,273794372.8,10.73312629199899
Polarfly,133,12,6,shift-1,10.0,0.0,34.61482944488525,1.134570569821657,273794372.8,10.73312629199899
