V,D,M_id,phi_ECMP_ASP,phi_IT,phi_IT_fast,phi_IT_fast_diff,time_IT,time_IT_fast,time_IT_fast_diff,attempts_IT,attempts_IT_fast,attempts_IT_fast_diff
36,5,14,0.5545227814393938,1.5153192281723022,1.5153192281723022,1.5153192281723022,0.0015823876666666667,0.010115444666666668,0.009951221333333335,10,26.0,9.0
36,5,15,0.37936366259151066,0.37936368584632874,0.37936368584632874,0.37936368584632874,0.00145389,0.009862075,0.009805535333333334,0,0.0,0.0
36,5,16,0.5550866595233933,0.8496044874191284,0.8496044874191284,0.8496044874191284,0.001487206,0.009961193666666668,0.009882966666666668,4,4.0,0.0
36,5,17,0.8695323258541579,2.3373687267303467,2.3373687267303467,2.3373687267303467,0.0019886123333333334,0.010385413333333334,0.010075700666666666,29,93.0,4.0
36,5,18,1.2538680191814477,3.0401229858398438,2.2783384323120117,2.242736339569092,0.021665013666666667,0.011874723666666668,0.011471790333333334,710,545.0,545.0
36,5,19,0.9468380702225374,2.5258700847625732,2.2426211833953857,2.171795129776001,0.003411924,0.011892885333333334,0.011748759000000003,111,545.0,545.0
36,5,20,0.6131688055201698,1.82382071018219,1.82382071018219,1.82382071018219,0.0017604620000000002,0.010557236000000003,0.010073974000000001,19,58.0,3.0
36,5,21,0.4843438659914501,0.48434391617774963,0.48434391617774963,0.48434391617774963,0.0014603573333333334,0.01036286766666667,0.009835295333333334,0,0.0,0.0
36,5,22,0.4558346198300191,0.573779821395874,0.573779821395874,0.573779821395874,0.0014223913333333334,0.010369819666666667,0.009818824666666668,1,1.0,0.0
36,5,23,0.8107863454941063,2.4233453273773193,2.4233453273773193,2.4233453273773193,0.003010028,0.011164572333333336,0.010159027333333334,110,125.0,39.0
36,5,24,1.1778998561981224,2.8901145458221436,2.423755645751953,2.2730934619903564,0.004309526,0.012369931,0.011494320666666667,143,545.0,545.0
36,5,25,1.1493285936715671,2.548485517501831,2.0963284969329834,2.089604616165161,0.0021988313333333336,0.012332828333333332,0.011606391666666667,36,545.0,545.0
36,5,26,0.703842832639588,2.011554002761841,2.011554002761841,2.011554002761841,0.0019393336666666669,0.010984745999999998,0.010257421333333334,28,87.0,59.0
