V,D,M_id,phi_ECMP_ASP,phi_IT,phi_IT_fast,phi_IT_fast_diff,time_IT,time_IT_fast,time_IT_fast_diff,attempts_IT,attempts_IT_fast,attempts_IT_fast_diff
36,5,26,1.206466222236875,3.801914930343628,3.309589147567749,3.3046584129333496,0.33065623233333336,0.129864043,0.11858010566666666,501,765.0,650.0
36,5,27,0.8037510824221189,3.589341640472412,3.185605764389038,3.1469693183898926,0.139603448,0.15320731666666668,0.13595881733333334,241,1101.0,853.0
36,5,28,0.9029974792510564,3.799530029296875,3.3125836849212646,3.4038467407226562,0.145345907,0.14339612233333332,0.12307005433333333,270,992.0,716.0
36,5,29,1.0046418815926421,4.74355411529541,3.6730635166168213,3.855893135070801,0.36475391333333335,0.11714858866666666,0.10903127766666665,569,630.0,545.0
36,5,30,0.9695013354695704,3.81246018409729,3.81246018409729,3.81246018409729,0.020687202666666668,0.07839688133333333,0.07833983066666667,38,47.0,68.0
36,5,31,0.8332568255841913,1.7768961191177368,1.7768961191177368,1.7768961191177368,0.013368606,0.07221899666666667,0.07228244866666667,6,9.0,5.0
36,5,32,2.029859043534694,4.818449974060059,4.818449974060059,4.818449974060059,0.017647242,0.08291463966666666,0.07352026466666667,25,130.0,5.0
36,5,33,1.322270549024588,4.082347869873047,4.082347869873047,4.077908992767334,0.03461165766666666,0.09108238966666667,0.12160528766666667,97,262.0,721.0
36,5,34,0.484782280855343,2.7790324687957764,2.165008783340454,2.1087472438812256,0.06742519666666666,0.10779231966666668,0.108070214,239,545.0,545.0
36,5,35,0.5022084246112525,1.971583604812622,1.790385365486145,1.842561960220337,0.03823668433333333,0.10920702666666667,0.10852709033333334,116,569.0,545.0
36,5,36,0.35658960475458834,1.8142716884613037,1.644942283630371,1.4718571901321411,0.677939388,0.11072469533333333,0.107930449,516,567.0,546.0
36,5,37,0.7996746394522565,2.496617555618286,2.496617555618286,2.496617555618286,0.022853464333333334,0.106491442,0.07588023066666667,44,455.0,19.0
36,5,38,0.7865188846444733,2.216547727584839,2.216547727584839,2.216547727584839,0.021981951333333333,0.07681782433333333,0.07227037799999998,37,60.0,1.0
36,5,39,0.8781964319304323,3.428546667098999,2.8143203258514404,2.7754933834075928,0.17827753799999999,0.11261699333333335,0.11000671366666666,278,570.0,545.0
36,5,40,0.9274097078677163,3.3443479537963867,3.04726505279541,2.7732691764831543,0.44820382033333334,0.12918153266666665,0.11016332366666666,543,796.0,545.0
36,5,41,0.8473195803761628,3.302744150161743,3.1254918575286865,3.03078293800354,0.10424378033333333,0.129663579,0.11603013899999999,196,791.0,607.0
36,5,42,1.0157376357402053,3.3361971378326416,2.4424331188201904,2.5066909790039062,0.5433941026666667,0.11692583166666666,0.11106940666666666,742,552.0,545.0
36,5,43,1.2238968215244554,3.421246290206909,2.829739809036255,2.9061877727508545,0.181935924,0.12165487133333334,0.11108873766666666,323,622.0,545.0
36,5,44,1.0539010616610804,3.445378541946411,3.3909404277801514,3.282097101211548,0.15402143533333332,0.16183188633333334,0.129481186,271,997.0,738.0
36,5,45,1.095666315372756,3.513904333114624,3.3592007160186768,3.0566205978393555,0.17529317733333333,0.13476837466666666,0.11488925966666667,289,678.0,545.0
36,5,46,1.838160837621722,3.59790301322937,3.3036115169525146,3.1875858306884766,0.45374997566666664,0.13659327533333332,0.11712841166666667,688,723.0,569.0
36,5,47,1.9162907784975258,3.60260272026062,3.547004222869873,3.4601666927337646,1.001535658,0.263067529,0.142033571,957,2186.0,848.0
36,5,48,2.014463731159217,3.5720067024230957,3.4819631576538086,3.4912309646606445,0.686396064,0.2357490223333333,0.16830861099999997,776,1805.0,1213.0
36,5,49,1.8340330994337706,3.5117554664611816,3.5066347122192383,3.46109676361084,0.46347983866666664,0.24927506300000002,0.158660894,793,1976.0,1083.0
36,5,50,1.5338869789318534,3.4542500972747803,3.404618263244629,3.0065736770629883,1.2368770713333335,0.21687288833333332,0.13434946866666667,839,1594.0,733.0
36,5,51,1.409826069485276,3.587677240371704,3.417634963989258,3.14219069480896,0.9613554793333333,0.13935832633333334,0.11754187633333335,709,721.0,558.0
36,5,52,1.274024268369453,3.5128204822540283,3.269932270050049,3.0373144149780273,0.211712962,0.13027418000000002,0.11266360833333333,323,737.0,545.0
36,5,53,1.2761842331470632,3.516848564147949,3.447887659072876,3.229156494140625,0.5349319926666667,0.21006390233333336,0.11510861933333333,525,1836.0,552.0
36,5,54,1.1466134991143908,3.5105321407318115,3.255573034286499,2.955151319503784,0.325554523,0.13750822366666668,0.11310477666666667,378,871.0,545.0
36,5,55,0.8618030902104786,3.4705984592437744,3.010932445526123,2.7321786880493164,0.14058889033333333,0.12104027566666666,0.11273140433333334,227,649.0,545.0
36,5,56,1.1339463542008807,3.569661855697632,3.1444942951202393,3.099147081375122,0.15857648700000002,0.128887435,0.11301088799999999,277,773.0,547.0
36,5,57,1.2129449108419992,3.803330421447754,3.4152283668518066,3.137726068496704,0.057157707,0.12213387466666668,0.11322103333333333,191,684.0,561.0
36,5,58,1.162491935410949,3.905470132827759,3.521529197692871,3.1552045345306396,0.9206620466666666,0.16400850366666667,0.11677570233333333,1033,1215.0,590.0
36,5,59,0.8981019537698222,4.041965484619141,2.9990365505218506,2.8531508445739746,0.8752143866666666,0.11765213000000001,0.10957919466666667,940,653.0,545.0
36,5,60,0.936021903349907,4.2102437019348145,4.075043201446533,3.9908030033111572,0.03184605966666667,0.17024007500000002,0.11745798633333333,85,1352.0,628.0
36,5,61,0.6704547477052308,3.031120538711548,3.031120538711548,3.005183219909668,0.018075244333333334,0.076311106,0.10865316600000001,27,63.0,545.0
36,5,62,1.424508608746706,3.860508918762207,3.860508918762207,3.860508918762207,0.017086271666666666,0.07468466,0.07435180200000001,22,44.0,47.0
36,5,63,1.6187594553706501,3.7371721267700195,3.122945785522461,3.0153796672821045,0.7451232743333334,0.111047627,0.111284077,1037,568.0,545.0
