V,D,M_name,M_weight,ave_time_MP_APST4,std_time_MP_APST4,ave_peakRAM_MP_APST4,std_peakRAM_MP_APST4,ave_time_IT,std_time_IT,ave_peakRAM_IT, std_peakRAM_IT,ave_time_MD_MP_APST4,std_time_MD_MP_APST4,ave_peakRAM_MD_MP_APST4,std_peakRAM_MD_MP_APST4,ave_time_MD_IT,std_time_MD_IT,ave_peakRAM_MD_IT,std_peakRAM_MD_IT
36,5,shift_42,0.009345794392523364,0.39327297210693357,0.0017141524656985481,1749241.6,8798.620619165256,0.021743154525756835,0.00012970744225632494,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_43,0.009345794392523364,0.44518747329711916,0.05187169994492695,1742865.6,53.48644688142969,0.020227718353271484,6.0316225173615976e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_44,0.009345794392523364,0.4104007244110107,0.04372617324771032,1749281.6,8813.428663125378,0.02401080131530762,8.567683683076501e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_45,0.009345794392523364,0.3880502700805664,0.002129338643372827,1752456,8807.384174657082,0.019687175750732422,0.00010995672560082964,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_46,0.009345794392523364,0.39214563369750977,0.005539518604589594,1752456,8807.384174657082,0.029836034774780272,9.63561541934209e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_47,0.009345794392523364,0.4235677719116211,0.04895318886070684,1746062.4,7178.807477568959,0.028578996658325195,9.529751956901304e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_48,0.009345794392523364,0.4081737518310547,0.05036001454707628,1746067.2,7225.272534652239,0.022005558013916016,0.00018509275943548678,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_49,0.009345794392523364,0.3890665054321289,0.0037296811373294676,1749241.6,8798.620619165256,0.01916961669921875,0.00010408266769000078,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_50,0.009345794392523364,0.39295163154602053,0.0010416820896423766,1749241.6,8798.620619165256,0.023168182373046874,6.995596838733063e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_51,0.009345794392523364,0.3871208667755127,0.0027652506213344374,1749241.6,8798.620619165256,0.019603872299194337,7.867264005977751e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_52,0.009345794392523364,0.4452256679534912,0.04776856118214555,1742865.6,53.48644688142969,0.02339658737182617,0.00013999988905976114,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_53,0.009345794392523364,0.41574954986572266,0.04153227243881431,1749281.6,8813.428663125378,0.017302227020263673,0.00010661701923354247,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_54,0.009345794392523364,0.3823105335235596,0.0027837840722032686,1752456,8807.384174657082,0.018488216400146484,6.809353159559197e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_55,0.009345794392523364,0.3940141201019287,0.0017688170101219838,1752456,8807.384174657082,0.02080426216125488,9.899448332991718e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_56,0.009345794392523364,0.4248084545135498,0.04469198686438339,1746062.4,7178.807477568959,0.02542223930358887,0.0002188167350359508,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_57,0.009345794392523364,0.43278117179870607,0.05956998451166671,1742848,44.8998886412873,0.021670722961425783,0.00012223372008948104,193,0.0,0,0,0,0,0,0,0,0
