V,D,M_name,M_weight,phi_ECMP_ASP,phi_MP_APST4,phi_IT,phi_MD_IT,phi_MD_MP_APST4,phi_MP_APST4_uniform,phi_MP_APST4_shift_1,phi_MP_APST4_halfshift
36,5,shift_22,0.009345794392523364,1.1538461538461542,4.090909090909089,3.465702533721924,3.33333158493042,3.994927076727963,1.0000000000000002,0.8333333333333336,0.8333333333333336
36,5,shift_23,0.009345794392523364,1.2,3.913043478260869,3.440859794616699,3.310344696044922,3.8685907276634874,0.9090909090909092,0.8333333333333334,0.8333333333333334
36,5,shift_24,0.009345794392523364,1.1111111111111114,3.749999999999999,3.33332896232605,3.224177837371826,3.749999999999991,0.8333333333333335,0.8333333333333335,0.8333333333333335
36,5,shift_25,0.009345794392523364,1.1111111111111112,3.795180722891566,3.3103411197662354,3.259758949279785,3.775372124492552,0.9090909090909091,0.9090909090909091,0.9090909090909091
36,5,shift_26,0.009345794392523364,1.1111111111111112,3.8414634146341484,3.3922228813171387,3.2876670360565186,3.801089918256128,1.0,1.0,1.0
36,5,shift_27,0.009345794392523364,1.1111111111111114,3.8271604938271597,3.137251138687134,3.1840755939483643,3.8271604938271646,1.1111111111111114,1.1111111111111114,1.1111111111111114
36,5,shift_28,0.009345794392523364,1.25,3.8749999999999996,3.3333332538604736,3.3333332538604736,3.8334707337180296,1.25,1.25,1.25
36,5,shift_29,0.009345794392523364,1.4285714285714286,3.9240506329113933,3.3333373069763184,3.33333683013916,3.8398018166803776,1.4285714285714286,1.0000000000000002,1.0000000000000002
36,5,shift_30,0.009345794392523364,1.6666666666666667,3.8461538461538463,3.2820489406585693,3.3333308696746826,3.8461538461538245,1.6666666666666667,0.8333333333333334,0.8333333333333334
36,5,shift_31,0.009345794392523364,1.4285714285714286,4.025974025974025,3.4782650470733643,3.33333683013916,3.860294117647043,1.4285714285714286,1.0000000000000002,1.0000000000000002
36,5,shift_32,0.009345794392523364,1.25,4.078947368421053,3.4408602714538574,3.298969030380249,3.8745387453874436,1.25,1.0,1.0
36,5,shift_33,0.009345794392523364,1.1111111111111114,3.888888888888888,3.33332896232605,3.2323193550109863,3.8888888888888857,1.1111111111111114,0.8333333333333335,0.8333333333333335
36,5,shift_34,0.009345794392523364,1.1428571428571426,3.970588235294118,3.3333356380462646,3.265308141708374,3.8414634146341817,1.019900497512426,0.9090909090909088,0.9090909090909088
36,5,shift_35,0.009345794392523364,1.176470588235294,3.857142857142857,3.199997901916504,3.1999969482421875,3.7951807228915384,0.9234234234234191,1.0,1.0
36,5,shift_36,0.009345794392523364,1.1111111111111114,3.7499999999999982,3.3333284854888916,3.0476155281066895,3.750000000000015,0.8333333333333335,0.8333333333333335,0.8333333333333335
36,5,shift_37,0.009345794392523364,1.1111111111111112,3.8028169014084514,3.4042515754699707,3.216076374053955,3.80281690140847,0.9090909090909091,0.8333333333333334,0.8333333333333334
36,5,shift_38,0.009345794392523364,1.1111111111111112,3.857142857142858,3.368417501449585,3.2214722633361816,3.857142857142704,1.0,0.8333333333333334,0.8333333333333334
