V,D,perturbation_rate,repetition_id,Nexullance_MP_optimal,Nexullance_MP_unperturbated,ECMP_ASP
36,5,0.5,2,6.815079348866859,1.3340667068970575,4.460587553383978
36,5,0.5,3,7.096972423834433,1.4620521621760512,4.796473452814342
36,5,0.5,4,6.987136967513076,1.4524503392643429,4.805187942533239
36,5,0.5,5,6.976855985666655,1.3670793469786082,4.6444270430036525
36,5,0.5,6,7.120425939286507,1.373621790694128,4.579213820320178
36,5,0.5,7,7.173057588983213,1.4818524550522714,4.338859883581296
36,5,0.5,8,6.8965036232810215,1.4282917580610173,4.0738713165412275
36,5,0.5,9,7.251535901608983,1.4146063218677374,4.609067052937475
36,5,0.6,0,7.007985033495991,1.469594230080571,4.561947026932394
36,5,0.6,1,6.632009068391894,1.2821323798634754,4.615589425771038
36,5,0.6,2,6.952656589379283,1.4882163495202017,4.314252260710502
36,5,0.6,3,7.048394273924313,1.4043516565112595,4.59936543954535
36,5,0.6,4,7.098431010420419,1.4506959330158355,4.6569485008859
36,5,0.6,5,7.0044813289015515,1.459096704220511,4.3184628261333025
36,5,0.6,6,7.158726371645201,1.4335550306328213,4.656558478611951
36,5,0.6,7,7.10781276172814,1.3078456954563973,4.231526174070705
36,5,0.6,8,7.140765666370117,1.3901699705554793,4.718720575086028
36,5,0.6,9,7.08865717248941,1.2937450217344675,4.5615394055050125
36,5,0.7,0,7.153645652618162,1.4778164228848216,4.49639786439145
36,5,0.7,1,7.075613326363377,1.2976733289523794,4.61611071740285
36,5,0.7,2,6.804981320249445,1.33600789681491,4.6146434236324065
36,5,0.7,3,7.029070829819501,1.4157403959856059,4.853722289625296
36,5,0.7,4,7.089419644138562,1.4720614044546279,4.3506258245295335
36,5,0.7,5,7.084237728758892,1.4975701170837092,4.301971134614719
36,5,0.7,6,7.095420468995529,1.439710288965746,4.679181954629961
36,5,0.7,7,7.0615303968507455,1.3324750459664287,4.46235966502146
36,5,0.7,8,6.971995155072307,1.3958920131603871,4.544906158314801
36,5,0.7,9,7.0927835427221035,1.3854341872759623,4.777893947609714
36,5,0.8,0,7.07906778210709,1.576076030105179,4.695156462767707
36,5,0.8,1,6.83390263763212,1.4700431862762828,4.401215638918436
36,5,0.8,2,7.033779259643466,1.3074617201565848,4.4338101735753295
36,5,0.8,3,7.053330354580418,1.3462542276308211,4.660405748404498
36,5,0.8,4,6.825108105528768,1.324306177394301,4.3768290331125375
36,5,0.8,5,6.987308474500162,1.2546653182599656,4.454507544541381
36,5,0.8,6,6.852506991807256,1.3037319916444772,4.599577446217417
36,5,0.8,7,6.981454691865833,1.3357226396806594,4.493346450983275
36,5,0.8,8,7.0347006655445865,1.366774298505915,4.544481743100509
36,5,0.8,9,6.991316241408182,1.2883491090044454,4.552397527156675
36,5,0.9,0,6.622249461354969,1.4261725234332854,4.5090386883990385
36,5,0.9,1,7.056390191752013,1.444335114506572,4.642260754129338
36,5,0.9,2,6.843783225571964,1.3408165139261032,4.485908080991329
36,5,0.9,3,6.9807672154847165,1.467014096164401,4.461225780816877
36,5,0.9,4,5.81684789360133,1.3927492801686103,4.642909693857156
36,5,0.9,5,6.763696329101827,1.3586802501751323,4.2202397974986505
36,5,0.9,6,7.127438646979756,1.4416896576230345,4.682242992026077
36,5,0.9,7,6.954872945157359,1.386494395009582,4.61714199665047
36,5,0.9,8,6.948489430155497,1.488733849411667,4.055493754993922
36,5,0.9,9,6.945508385900138,1.463483926921218,4.6810576962960075
36,5,1.0,0,6.766397605915186,1.3372539670211163,4.484451307820937
36,5,1.0,1,7.014888689259171,1.4835506017962363,4.617451252851275
36,5,1.0,2,6.998884426366546,1.4874739200003815,4.245363941322085
36,5,1.0,3,6.929707196174937,1.3957480674207052,4.745520303126006
36,5,1.0,4,6.936614797385647,1.3903085058993985,4.109244822549606
36,5,1.0,5,6.612462075029608,1.5504303151222407,4.211507152278127
36,5,1.0,6,7.102203071064765,1.422728588726298,4.3239937602961716
36,5,1.0,7,7.047539340805461,1.347673784081648,4.387281092841313
36,5,1.0,8,6.902362373399175,1.4027941602328537,4.467047422129906
36,5,1.0,9,6.736384333983558,1.3306065206645554,4.3134606964409645
36,5,0.0,0,10.0,1.0,1.0
