V,D,perturbation_rate,repetition_id,MD_MP_phis_training,MD_MP_phis_verification,MD_MP_phis_trained_on_verification_set
36,5,0.4,8,6.823627188941338,4.656364781566126,6.785651454232341
36,5,0.4,9,6.853363339014743,4.69775559521443,6.66050031356702
36,5,0.5,0,6.772244369465398,5.058184945433826,6.780616447827735
36,5,0.5,1,6.640072993548181,5.102772707675514,6.762863892127858
36,5,0.5,2,6.790253835182598,4.91346997229644,6.806219914311411
36,5,0.5,3,6.827088343764806,4.9224144665413005,6.757384111214203
36,5,0.5,4,6.718461912209869,5.072342973326113,6.740279368762033
36,5,0.5,5,6.741061065278631,5.133275226068455,6.682000112007514
36,5,0.5,6,6.787952324631277,5.101747227558975,6.806307757947957
36,5,0.5,7,6.749295895673132,4.759357450766838,6.667636185189902
36,5,0.5,8,6.718609716614416,4.824982655726665,6.742025110384224
36,5,0.5,9,6.786516000100864,4.878839627139714,6.6717588376417964
36,5,0.6,0,6.677411515681701,5.452038214275318,6.70837563188809
36,5,0.6,1,6.693494848231535,5.231286505364995,6.694363554906224
36,5,0.6,2,6.768011454117463,5.374946770163198,6.796006640810617
36,5,0.6,3,6.812999094310406,5.270503465527218,6.67464978699511
36,5,0.6,4,6.70608899556824,5.425156853286763,6.684473624932615
36,5,0.6,5,6.735008478936067,5.082450805719929,6.625526592228662
36,5,0.6,6,6.761862150343707,4.697903747684967,6.738212490087536
36,5,0.6,7,6.718413511291881,5.570234233897474,6.770038891594341
36,5,0.6,8,6.749088297081621,4.918774307363292,6.6591421792736645
36,5,0.6,9,6.688480071754843,5.339667267024037,6.7163257958709055
36,5,0.7,0,6.747537213801011,5.58535958545779,6.731755423168099
36,5,0.7,1,6.632213393077925,5.528812885168234,6.609091938218021
36,5,0.7,2,6.632846733279866,5.535350877420986,6.734904597766157
36,5,0.7,3,6.742752483231609,5.40446320325239,6.6886243991560335
36,5,0.7,4,6.716136400815744,4.898082182028279,6.714819177799411
36,5,0.7,5,6.65595963169941,5.59858352749222,6.7185436836173835
36,5,0.7,6,6.629368506963556,5.289933283598709,6.842854003209221
36,5,0.7,7,6.589694616907877,5.264982478510477,6.718699796432856
36,5,0.7,8,6.7580876331840365,5.305457641012655,6.58008244639962
36,5,0.7,9,6.7134793276519895,5.13945763940104,6.6591329699350235
36,5,0.8,0,6.642831120069075,5.70179641446952,6.718530832319685
36,5,0.8,1,6.6953405041630045,5.5279825010316195,6.643416677573496
36,5,0.8,2,6.732922562952475,5.280302887211041,6.791206783847378
36,5,0.8,3,6.675692827635903,5.4119773097824675,6.7183376994722135
36,5,0.8,4,6.683912360422554,5.347503406451387,6.646928364330579
36,5,0.8,5,6.72051029431939,5.834934151265147,6.7298891886046155
36,5,0.8,6,6.615439073717958,5.664870841659815,6.7157207557703895
36,5,0.8,7,6.621631783675706,5.377178653705755,6.650822830187285
36,5,0.8,8,6.700319944027528,5.356322570762444,6.660750505266994
36,5,0.8,9,6.686282158365213,5.491781888100627,6.742669037285843
36,5,0.9,0,6.654470147467534,5.89118853057107,6.6471798835642515
36,5,0.9,1,6.599208411647511,5.593166145597325,6.5807350940445755
36,5,0.9,2,6.664184405963424,5.062060735230681,6.806576708955485
36,5,0.9,3,6.565915256532178,5.369375017396794,6.668379536535069
36,5,0.9,4,6.721693964220082,5.53767519959688,6.5347886915982025
36,5,0.9,5,6.653142949124991,5.325024131298865,6.7052893876104465
36,5,0.9,6,6.740454399400846,5.469640206294458,6.695536942187451
36,5,0.9,7,6.6280349094666065,5.80063700765347,6.62167958388647
36,5,0.9,8,6.715050684454838,5.615498217508482,6.645479373632268
36,5,0.9,9,6.5942724742980845,5.671525811223336,6.628579158401202
36,5,1.0,0,6.623766314445732,5.853523220089839,6.627862578189284
36,5,1.0,1,6.600072215032935,5.480286483597036,6.622949164025249
36,5,1.0,2,6.635009801114078,5.586217889517497,6.600278425132395
36,5,1.0,3,6.566112102134441,5.336189281194981,6.622740079548954
36,5,1.0,4,6.592217487045216,5.635664925073651,6.6000479276929145
36,5,1.0,5,6.697633314755918,5.821321312787706,6.706293109313098
36,5,1.0,6,6.584808077561871,5.440333661241643,6.600452853914364
36,5,1.0,7,6.6133104700422045,5.6853763400265604,6.5987135660411305
36,5,1.0,8,6.6870545775242345,5.550409495727937,6.796676727662964
36,5,1.0,9,6.677128846515272,5.411642845249294,6.67924984028753
36,5,0.0,0,NAN,NAN,NAN
