V,D,perturbation_rate,repetition_id,MD_MP_phis_training,Nexullance_MP_APST_original_phis,ECMP_ASP_phis
36,5,0.4,0,7.093522753545858,1.3846333495842078,4.45825193093537
36,5,0.4,1,7.213174980394506,1.3120579448777074,4.381935043552702
36,5,0.4,2,6.352617587259285,1.4786934950508952,4.5487715519388345
36,5,0.4,3,7.095100465485776,1.5031878487186563,4.622808205515347
36,5,0.4,4,7.219353440573863,1.5147350912035973,4.715116412987914
36,5,0.4,5,7.125202910702893,1.4187875411746858,4.188326773776542
36,5,0.4,6,7.2284492983221575,1.287203905187266,4.553010612949486
36,5,0.4,7,7.017498945175275,1.4655040403646016,4.241307413695334
36,5,0.4,8,6.767745878579674,1.2362202329050984,4.679428420343497
36,5,0.4,9,7.211751457769737,1.320056109197443,4.5208103672485285
36,5,0.5,0,7.123305915303996,1.37666386946879,4.404192692852538
36,5,0.5,1,7.197135326165407,1.376831446586472,4.3883158500861965
36,5,0.5,2,7.04396104863286,1.4147955891778727,4.458562113298138
36,5,0.5,3,7.187728267247821,1.3626162720068946,4.575414118808942
36,5,0.5,4,7.2111043616114285,1.4324838273201095,4.63261212070718
36,5,0.5,5,7.162876571531957,1.5171043846546188,4.598115571498731
36,5,0.5,6,7.171888763082153,1.4011070434029718,4.299618626185854
36,5,0.5,7,7.147125352272009,1.3707587884259442,4.28111784865868
36,5,0.5,8,7.271857467684639,1.4730012138599704,4.689927790756512
36,5,0.5,9,6.93479037445263,1.4767779072315803,4.511818150752913
36,5,0.6,0,7.022637027176821,1.3858574516212143,4.403379903951239
36,5,0.6,1,6.701521288479277,1.334565951496191,4.121579745386655
36,5,0.6,2,7.102888291143138,1.377714161169162,4.364241979176104
36,5,0.6,3,6.809832246967367,1.404290190530424,4.376395025031228
36,5,0.6,4,7.022911569038839,1.4350420677823919,4.471838170375323
36,5,0.6,5,7.11950025460838,1.350262620821586,4.719377191975558
36,5,0.6,6,6.965697098449562,1.3800144096822407,4.618459890371707
36,5,0.6,7,6.877149220447408,1.3889316215477419,4.633231145541737
36,5,0.6,8,7.0262697645225165,1.449815647553508,4.5095443851321
36,5,0.6,9,7.172598465997777,1.360261717814909,4.479704122983092
36,5,0.7,0,7.041112396468243,1.406308744225477,4.661016320141932
36,5,0.7,1,6.979958160755792,1.374773323975767,4.758821977972525
36,5,0.7,2,7.0794365356395765,1.3675105557274225,4.538535325797452
36,5,0.7,3,6.9551974031061095,1.477993865543702,4.59006928169503
36,5,0.7,4,6.474686785419063,1.4623346998797149,4.176293985224127
36,5,0.7,5,7.0523728153152945,1.4077751730984929,4.651479352463777
36,5,0.7,6,7.0560303457755875,1.4812831586896218,4.308437423741837
36,5,0.7,7,6.9337261860265,1.3885493045422552,4.587799130009594
36,5,0.7,8,7.114319010785123,1.328689231885502,4.244536119003487
36,5,0.7,9,7.087186242213443,1.3169624514415108,4.528959296515634
36,5,0.8,0,6.892934865830561,1.4789818955818976,4.542540344300831
36,5,0.8,1,7.111721697060236,1.2838492390217697,4.565121963997583
36,5,0.8,2,7.046632803556632,1.3821972621863479,4.399689654987018
36,5,0.8,3,6.871540893580226,1.3651675062371647,4.145305858623797
36,5,0.8,4,7.128302332293182,1.4037938555491314,4.482489634825942
36,5,0.8,5,7.029012729246273,1.3356502121270974,4.815563351734876
36,5,0.8,6,7.025828124600602,1.3148349847145857,4.477537478039369
36,5,0.8,7,6.98619487138132,1.3955297790735444,4.171796555289617
36,5,0.8,8,7.085850663662275,1.41946942536555,4.476125178040295
36,5,0.8,9,7.025755725509697,1.439847901838137,4.732192699321001
36,5,0.9,0,6.922949891011992,1.4681460094838787,4.2941093258521486
36,5,0.9,1,6.895630759400041,1.3221096038647733,4.368639822604803
36,5,0.9,2,6.70822780478867,1.322970464551489,4.450244383105404
36,5,0.9,3,6.893004438633528,1.4311836043757542,4.504140170430301
36,5,0.9,4,6.994362448256749,1.4165291922305054,4.61600051721843
36,5,0.9,5,6.753580663587091,1.4185270209347023,4.093950496677073
36,5,0.9,6,6.887021125830324,1.3557882408674808,4.5634738494650335
36,5,0.9,7,7.033543286482435,1.4687156062161109,4.5593513330477595
36,5,0.9,8,6.967097030056242,1.3636779885457537,4.596781304389467
36,5,0.9,9,6.984434255033057,1.4111637539141764,4.63479388523869
36,5,1.0,0,7.06324906472142,1.5123120187315773,4.324320587809355
36,5,1.0,1,6.85594237357838,1.4634026028896687,4.797950942666115
36,5,1.0,2,6.98350217682929,1.322728703700949,4.594720566288312
36,5,1.0,3,6.9497790602349445,1.3694898371317368,4.392502007829527
36,5,1.0,4,6.906253409090689,1.432596740167351,4.47302325687004
36,5,1.0,5,6.924159450060301,1.464307166132183,4.770675619800202
36,5,1.0,6,7.10921908427046,1.2468479785177835,4.570911767599923
36,5,1.0,7,7.043071203494308,1.2843213785725678,4.146643514675718
36,5,1.0,8,7.0823334779422,1.383247294364733,4.598968476267267
36,5,1.0,9,7.0464226545487305,1.2941847761043177,4.379530215200944
36,5,0.0,0,10.0,1.0,1.0
