V,D,perturbation_rate,repetition_id,MD_MP_phis_training,MD_MP_phis_verification,MD_MP_phis_trained_on_verification_set
36,5,0.4,9,6.62475735898426,5.133125580976095,6.735737833794099
36,5,0.5,0,6.679283847133591,5.3146919589227375,6.638576612667325
36,5,0.5,1,6.5736361558156045,5.625702501647189,6.588736518334126
36,5,0.5,2,6.538842341527997,5.327339455022754,6.7027655299260305
36,5,0.5,3,6.540319060140115,5.514252352918221,6.551914361241746
36,5,0.5,4,6.666358966406857,5.4419806183052675,6.622151474314631
36,5,0.5,5,6.47459204775392,5.506211850942026,6.566930110815552
36,5,0.5,6,6.553999606278252,5.031771617748471,6.589093582808272
36,5,0.5,7,6.621900009741365,5.402617536321786,6.536503993592584
36,5,0.5,8,6.471237084444963,4.862561671336024,6.463531738157132
36,5,0.5,9,6.53485896382519,5.347873386636332,6.708128382939496
36,5,0.6,0,6.576735124150065,5.100421611157309,6.558638865338379
36,5,0.6,1,6.567387252579135,5.279217836387933,6.5156413118433685
36,5,0.6,2,6.5962693494125455,5.1028931731013545,6.421789187241323
36,5,0.6,3,6.599566949423043,5.128865398998558,6.506255295479999
36,5,0.6,4,6.659213565974206,5.508826017877414,6.571449388696987
36,5,0.6,5,6.468920404882626,5.255244632907761,6.521109553768878
36,5,0.6,6,6.589099341763931,4.980023223872707,6.6656759076900025
36,5,0.6,7,6.525144288006299,5.269828347277165,6.460145410944153
36,5,0.6,8,6.513136228385707,5.273373057787133,6.640767563042779
36,5,0.6,9,6.396880633321404,5.3719281660425215,6.495379297946578
36,5,0.7,0,6.5414083855949405,5.048184989731522,6.619037247765057
36,5,0.7,1,6.592635340294568,5.560748457748951,6.563960537232321
36,5,0.7,2,6.512920165621132,5.179355578391638,6.580843753820919
36,5,0.7,3,6.595988661222095,5.2871383480461525,6.534291710461646
36,5,0.7,4,6.558522715073456,5.4028040979256895,6.576732691125615
36,5,0.7,5,6.539757307572053,5.391761409219184,6.537404351056745
36,5,0.7,6,6.52710369162346,5.3374005917291285,6.600630646801335
36,5,0.7,7,6.594685374697372,5.707547402324688,6.536653789899993
36,5,0.7,8,6.61341461897926,5.078568627644949,6.559839305425988
36,5,0.7,9,6.483117957684166,5.026289600113891,6.568135849773016
36,5,0.8,0,6.402478236121685,4.954918945989802,6.498283967385739
36,5,0.8,1,6.495751158561159,5.231981251008734,6.436693063085511
36,5,0.8,2,6.502527185041555,5.172247520397116,6.439938545441636
36,5,0.8,3,6.574603592615846,5.52813571282597,6.553774446323468
36,5,0.8,4,6.48973941568038,4.731595357201581,6.479225366192893
36,5,0.8,5,6.516181604115474,5.367526434264193,6.409970684844418
36,5,0.8,6,6.484779466792803,4.832015454687042,6.426440489684057
36,5,0.8,7,6.495653255895049,5.4319023157199116,6.5417501809599745
36,5,0.8,8,6.521380041830647,5.085692334335829,6.420794087379736
36,5,0.8,9,6.487354482902652,5.14321887662785,6.500590675311702
36,5,0.9,0,6.453731498723435,5.478945354633826,6.530628308840577
36,5,0.9,1,6.510720483323201,5.5642407840343955,6.599045390878109
36,5,0.9,2,6.457984886206393,5.561848793977084,6.608625671839153
36,5,0.9,3,6.542604412153331,5.118872665512281,6.529310239634277
36,5,0.9,4,6.458981741392945,5.510686310769398,5.816847893601329
36,5,0.9,5,6.4432157482024435,5.270398678539565,6.4233414095547765
36,5,0.9,6,6.555129190991335,5.72524035993091,6.675949345708238
36,5,0.9,7,6.3720294696632385,4.861173250176749,6.468529819351546
36,5,0.9,8,6.493379057491258,5.518690520513639,6.4281331150244
36,5,0.9,9,6.550513343997828,5.251968856123829,6.721583135335031
36,5,1.0,0,6.514240694496074,5.41795277983925,6.343297820967837
36,5,1.0,1,6.470219600531066,5.471521447932322,6.517030449123052
36,5,1.0,2,6.443603780988688,5.290895193010223,6.450542266633609
36,5,1.0,3,6.38913188334584,5.222717017825873,6.489279875145583
