V,D,perturbation_rate,repetition_id,MD_MP_phis_training,Nexullance_MP_APST_original_phis,ECMP_ASP_phis
36,5,0.6,9,7.062358665696389,2.466643839495427,3.058279887851946
36,5,0.7,0,7.075043047942421,2.5046225696085873,3.2238006970680346
36,5,0.7,1,6.998462026340426,2.419231771570989,2.998799295683659
36,5,0.7,2,7.077556820490167,2.3483613545829907,3.2993821037258253
36,5,0.7,3,6.9872326083352565,2.6493416343083687,3.327534516190693
36,5,0.7,4,7.114354838045246,2.320459882777203,3.14813139054545
36,5,0.7,5,7.103080043945993,2.351506024661243,3.2676658516045767
36,5,0.7,6,7.159292693627223,2.5204510962123576,3.302300470725703
36,5,0.7,7,7.055697001118567,2.3677127964349407,3.0974506884869233
36,5,0.7,8,6.889547367969781,2.208655626081865,3.2489082352120127
36,5,0.7,9,7.008991000758864,2.4824187948780807,3.0635756777532754
36,5,0.8,0,7.143402990880719,2.2691440196927952,3.294932217981995
36,5,0.8,1,7.001179677752646,2.3139722051463347,3.2880169077953374
36,5,0.8,2,7.084812734720219,2.31383576991953,3.214375306037237
36,5,0.8,3,7.103747671832006,2.2698442907624528,3.2030540076430447
36,5,0.8,4,7.04708538643175,2.393563658720836,3.2843712324011896
36,5,0.8,5,7.1263324560024,2.3755353314912457,3.412957794842296
36,5,0.8,6,7.072858910582222,2.2854423817506597,3.246573602103794
36,5,0.8,7,7.039157475946285,2.1839814602133183,3.18058793729404
36,5,0.8,8,7.049422386372747,2.317665001598957,3.0917239400511525
36,5,0.8,9,7.15188417526614,2.3081640784750945,3.3059433177036084
36,5,0.9,0,7.094938530435131,2.2196733071618415,3.4621098148354346
36,5,0.9,1,6.940515461696521,2.132888650813364,3.202712456465273
36,5,0.9,2,7.207821830660403,2.2180041597861995,3.4425773671407125
36,5,0.9,3,7.085668588362642,2.438820733992833,3.632985091174981
36,5,0.9,4,6.896542619607865,2.227196108714869,3.448634403560075
36,5,0.9,5,7.091897060683732,2.405522218261574,3.420028261442498
36,5,0.9,6,7.1204026979710555,2.271873959380106,3.5443368424823065
36,5,0.9,7,7.060931560127947,2.3370183381084177,3.4010256008206263
36,5,0.9,8,7.0529921368727555,2.1089693333942785,3.6266751468190885
36,5,0.9,9,7.034441527001222,2.1018572089991787,3.3559354172606297
36,5,1.0,0,7.02840202198718,2.2536103402965697,3.5486991596095616
36,5,1.0,1,6.910416730787036,2.2519003268750653,3.685655591285587
36,5,1.0,2,7.076074021987013,2.010835451321683,3.650954654705401
36,5,1.0,3,6.9981828540959405,2.0830967610385707,3.6085431325361648
36,5,1.0,4,6.984421463814692,2.1471006234990404,3.5384027881410294
36,5,1.0,5,7.096598481344631,2.2495071777504827,3.621783007453494
36,5,1.0,6,7.027302011675173,2.0942753163496413,3.4446170947779318
36,5,1.0,7,6.729656754559949,2.220763602058,3.592829936943598
