V,D,M_name,M_weight,phi_ECMP_ASP,phi_MP_APST4,phi_IT,phi_MD_IT,phi_MD_MP_APST4,phi_MP_APST4_uniform,phi_MP_APST4_shift_1,phi_MP_APST4_halfshift
32,6,shift_52,0.010526315789473684,2.0,7.272727272727264,6.095238208770752,5.245901584625244,7.1018276762402115,1.9954786616311917,0.4761904761904762,0.4761904761904762
32,6,shift_53,0.010526315789473684,2.5,7.441860465116277,6.153846263885498,5.079365253448486,7.092568448500708,2.315238424903403,0.4761904761904762,0.4761904761904762
32,6,shift_54,0.010526315789473684,1.6666666666666667,7.083333333333338,6.0952348709106445,4.637678623199463,7.083333333333428,1.6666666666666667,0.4761904761904762,0.4761904761904762
32,6,shift_55,0.010526315789473684,2.0,7.607361963190184,5.981308460235596,5.161290168762207,7.244156106210839,2.0,0.5,0.5
32,6,shift_56,0.010526315789473684,2.5,7.908805031446543,6.037735939025879,5.245901584625244,7.412451302294399,2.0,0.5263157894736842,0.5263157894736842
32,6,shift_57,0.010526315789473684,1.6666666666666667,7.588752103175512,6.274506568908691,4.961237907409668,7.588752103175607,1.605620725592088,0.5555555555555556,0.5555555555555556
32,6,shift_58,0.010526315789473684,2.5,7.457627118644066,5.9259257316589355,5.333333492279053,7.254297977326107,2.0,0.5263157894736842,0.5263157894736842
32,6,shift_59,0.010526315789473684,2.8571428571428563,7.04,6.095242977142334,5.079368591308594,6.948079785027983,2.4999999999999996,0.49999999999999994,0.49999999999999994
32,6,shift_60,0.010526315789473684,3.3333333333333335,6.666666666666667,5.765762805938721,4.539004802703857,6.666666666666699,1.6666666666666667,0.4761904761904762,0.4761904761904762
32,6,shift_61,0.010526315789473684,2.8571428571428563,6.85714285714286,6.1538496017456055,5.039374828338623,6.857142857142866,1.9999999999999998,0.4761904761904761,0.4761904761904761
32,6,shift_62,0.010526315789473684,2.5,7.058823529411768,5.9259257316589355,5.245901584625244,7.058823529411804,2.5,0.4761904761904762,0.4761904761904762
32,6,shift_63,0.010526315789473684,2.2222222222222223,7.272727272727269,6.464639186859131,4.7407355308532715,7.27272727272723,2.24761504752956,0.4761904761904763,0.4761904761904763
32,6,shift_64,0.010526315789473684,2.5,7.5,5.981308460235596,5.2892560958862305,7.254268574065491,2.521364165494315,0.45454545454545453,0.45454545454545453
32,6,shift_65,0.010526315789473684,2.8571428571428563,7.586206896551722,6.095242977142334,5.333337306976318,7.235903337169229,2.1272188583014042,0.43478260869565216,0.43478260869565216
32,6,shift_66,0.010526315789473684,3.3333333333333335,7.217630853994493,5.925922870635986,4.961237907409668,7.217630853994464,1.6666666666666667,0.4166666666666667,0.4166666666666667
32,6,shift_67,0.010526315789473684,3.3333333333333335,7.54716981132075,6.037731170654297,5.4237260818481445,7.277441935903298,2.0,0.4347826086956523,0.4347826086956523
32,6,shift_68,0.010526315789473684,3.3333333333333326,7.6923076923076925,6.0377326011657715,5.245899200439453,7.338252586293276,2.4908862706609782,0.45454545454545453,0.45454545454545453
32,6,shift_69,0.010526315789473684,2.2222222222222223,7.400088073633906,6.095231533050537,4.7407355308532715,7.400088073634,1.6666666666666667,0.4761904761904763,0.4761904761904763
32,6,shift_70,0.010526315789473684,2.5,7.272727272727271,5.818181991577148,5.245901584625244,7.13831830104715,1.6666666666666667,0.4761904761904762,0.4761904761904762
32,6,shift_71,0.010526315789473684,2.8571428571428563,6.956521739130406,5.925930023193359,5.1200032234191895,6.894435420964931,1.6666666666666663,0.4761904761904761,0.4761904761904761
32,6,shift_72,0.010526315789473684,3.3333333333333335,6.666666666666667,5.765762805938721,4.637678623199463,6.666666666666654,1.6666666666666667,0.4761904761904762,0.4761904761904762
32,6,shift_73,0.010526315789473684,2.8571428571428563,6.837606837606838,5.925929069519043,5.161294460296631,6.837606837606779,2.4999999999999996,0.49999999999999994,0.49999999999999994
32,6,shift_74,0.010526315789473684,2.5,7.017543859649137,5.714285850524902,4.507042407989502,7.017543859649016,2.0,0.5263157894736842,0.5263157894736842
32,6,shift_75,0.010526315789473684,1.6666666666666667,7.207207207207207,5.925922870635986,3.8787858486175537,7.20720720720731,1.6666666666666667,0.5555555555555556,0.5555555555555556
